,ID,ModifiedTMC,TOD,YEAR,CHAMP_LINK_COUNT,PRESIDIO,PHF,ALPHA,BETA,AT,FT2,LANES,DISTANCE,CAPACITY,FFS,INRIX_SPEED,SPEED_20TH,FF_TIME,INRIX_TIME,INRIX_VOL,CHAMP_PCE,CHAMP_VOL,TNC_VOL,TNC_PUDO,AVG_DUR,AVG_DUR_MAJOR_ARTERIALS,AVG_DUR_MINOR_ARTERIALS,BASE_INRIX_VOL_PRESIDIO
928,105-10503_AM,105-10503,AM,2016,3,0.0,0.348,0.6,3.5,0.0,2,5.0,0.09,12212.6436782,27.23,15.3202248677,10.0,0.198310686743,0.352475244106,13150.700224,5219.42296222,4779.95936556,403.96891,16.73,3.95013888889,3.95013888889,0.0,0.0
929,105-10533_AM,105-10533,AM,2016,3,0.0,0.348,0.6,3.5,1.0,2,2.64285714286,0.14,6834.97536946,20.67,11.35478125,8.0,0.406386066763,0.739776470815,7474.03219111,1420.08813357,1224.15179571,233.667192143,6.23571428571,1.55892857143,1.55892857143,0.0,0.0
930,105-10534_AM,105-10534,AM,2016,2,0.0,0.348,0.6,3.5,1.0,2,5.0,0.1,12931.0344828,21.51,10.5047076023,7.18,0.278940027894,0.571172490197,15163.3475388,1933.22302,1677.9091,187.728325,5.735,1.43375,1.43375,0.0,0.0
931,105-10535_AM,105-10535,AM,2016,2,0.0,0.348,0.6,3.5,1.0,2,5.0,0.12,12931.0344828,22.1,11.8227473958,8.732,0.325791855204,0.608995503241,14375.9110057,3705.3081075,3432.9808025,345.479435,9.9425,2.485625,2.485625,0.0,0.0
932,105-10536_AM,105-10536,AM,2016,5,0.0,0.348,0.6,3.5,1.0,2,5.0,0.18,12931.0344828,23.7,15.1827014218,11.19,0.455696202532,0.711335861778,12685.0113835,528.022416667,403.674031667,167.152436667,4.37166666667,1.09291666667,1.09291666667,0.0,0.0
933,105-10537_AM,105-10537,AM,2016,4,0.0,0.348,0.6,3.5,1.0,2,5.0,0.16,12931.0344828,29.58,20.0895685279,14.596,0.324543610548,0.477859939434,12077.1891794,2792.3350225,2420.3743975,270.91600125,6.72625,1.6815625,1.6815625,0.0,0.0
934,105-10538_AM,105-10538,AM,2016,4,0.0,0.348,0.6,3.5,1.0,2,5.0,0.16,12931.0344828,27.39,17.4478605201,12.58,0.350492880613,0.550210725776,12741.7591016,3187.57678,2773.0461075,412.40534,5.515,1.37875,1.37875,0.0,0.0
935,105-10539_AM,105-10539,AM,2016,2,0.0,0.348,0.6,3.5,1.0,2,5.0,0.17,12931.0344828,31.27,18.7524680851,13.986,0.326191237608,0.543928402049,13331.0518925,605.36224,408.70546,239.170575,12.91,3.2275,3.2275,0.0,0.0
936,105-10540_AM,105-10540,AM,2016,2,0.0,0.348,0.6,3.5,1.0,2,5.0,0.17,12931.0344828,26.88,15.1066470588,10.69,0.379464285714,0.675199464203,13934.2929139,2551.09935118,1954.39970647,626.577321176,27.7376470588,6.93441176471,6.93441176471,0.0,0.0
937,105-10541_AM,105-10541,AM,2016,1,0.0,0.348,0.6,3.5,0.0,2,3.0,0.09,7327.5862069,23.87,12.3777926829,8.048,0.226225387516,0.436265183813,8301.08642968,2121.20996,1605.72968,445.48982,27.97,6.60402777778,6.60402777778,0.0,0.0
938,105-10542_AM,105-10542,AM,2016,1,0.0,0.348,0.6,3.5,0.0,2,2.0,0.08,4885.05747126,25.2,10.4534034166,7.0,0.190476190476,0.459180594942,6236.63730792,2099.24414,1723.06534,352.28539,7.09,1.67402777778,1.67402777778,0.0,0.0
